u,e,a_p,predictions,labels
-1.0093372,-1.5851082,-0.5987372,1,1
0.9935489,1.7084322,-1.4101701000000002,0,0
0.5100937,1.0150553,-0.9125933,0,0
0.30289856,-1.4464328000000002,-1.1652091999999998,0,0
0.5100937,-0.718387,0.45765656,1,1
0.44102862,0.7377045,-1.3259646999999999,0,0
1.3388741000000002,-1.4464328000000002,-0.9202483,1,0
1.6841993000000002,0.14833413,-0.024610147000000002,1,1
1.5460693,1.2577372,-1.6245108,0,0
-1.2855973,-1.4811016000000001,0.13614543,1,1
-0.8712071,-0.718387,0.22035071,1,1
-0.94027215,-0.89173126,-0.6599774,0,0
-0.8712071,0.46035373,1.4681201000000001,1,1
1.5460693,1.6044257,0.2433158,1,1
0.7172888000000001,-1.0997443,1.3456397,1,1
-1.6999876,1.2230683999999998,1.3839148000000001,1,1
0.026638385,-0.47570512,-0.062885284,0,0
-1.4927925,1.2577372,-0.9508684000000001,0,0
-0.042426652999999995,1.5697569,1.2308143,1,1
1.062614,-0.64904934,1.6671508999999998,1,1
0.09570342,0.39101604,1.5293603,1,1
1.200744,-0.6143805,0.8327529,1,1
-1.2165323000000001,-0.89173126,-0.07819533,1,1
-0.18055673,-0.9957378,0.3504862,1,1
-1.3546624,0.70303565,0.32752109999999995,1,1
0.7863538,-0.09434780000000001,-1.1422441,0,0
1.6151342,0.52969146,-1.1192790000000001,0,0
0.026638385,-0.19835433,1.2920545,1,1
0.85541886,-0.9957378,0.6031021,1,1
-1.0093372,-1.2384198,0.48062164,1,1
-0.8712071,-1.3770951,1.4834301,1,1
1.6151342,-0.7530559,-0.7059075,0,0
-1.6309226000000001,0.6683668,1.1312989,1,1
0.7172888000000001,-1.0304065999999998,-1.5479604999999999,0,0
0.3719636,0.46035373,-1.0810038999999998,0,0
0.85541886,-1.0650754999999998,-1.3489299,0,0
-0.94027215,-0.059678953,-1.0350738000000002,0,0
1.200744,0.21767181,-1.5249954,0,0
0.5791586999999999,-1.5504394,1.7054259999999999,1,1
-0.52588195,0.2870095,-0.19302075,1,1
-1.6999876,0.6683668,-1.0350738000000002,0,0
0.64822376,0.32167834,0.7408925000000001,1,1
1.062614,-0.23302318,0.54186183,1,1
1.3388741000000002,0.18300296,-1.2953446000000002,0,0
0.7863538,-0.16368549,0.4117264,1,1
-0.94027215,-0.37169856,-1.6857509999999998,0,0
0.7172888000000001,-1.619777,0.8327529,1,1
-0.594947,1.084393,1.728391,1,1
-0.042426652999999995,0.21767181,-0.6599774,0,0
0.16476846,-1.0997443,-0.032265175,1,1
-0.3186868,0.4950226,1.5370153,1,1
-0.18055673,0.14833413,0.09787028,1,1
0.9935489,-1.0997443,1.0011635,1,1
-0.52588195,0.84171104,-1.0886589,0,0
-0.38775185,-0.9610689,-1.1498991000000003,1,1
1.3388741000000002,1.1883996000000001,1.6212207,1,1
1.6151342,1.1537306,0.4653116,1,1
0.30289856,0.84171104,-0.72887266,0,0
1.131679,-0.09434780000000001,-1.2187943,0,0
0.3719636,-0.7530559,0.3811063,1,1
-0.52588195,1.6390945,-1.5326505,0,0
0.30289856,0.9457175999999999,0.34283116,1,1
0.026638385,-0.718387,-0.55280703,1,1
-1.3546624,-1.4811016000000001,0.006009962,1,1
-1.6309226000000001,-0.26769203,-0.9125933,0,0
-0.24962178,-0.12901664,0.34283116,1,1
-1.0784023,0.25234067,0.8021328000000001,1,1
-1.5618575000000001,0.46035373,-1.126934,0,0
-0.94027215,-1.0650754999999998,0.8327529,1,1
0.16476846,-0.718387,-1.2800345,0,0
-0.042426652999999995,0.21767181,1.1312989,1,1
-1.0093372,-0.23302318,-1.4101701000000002,0,0
-0.111491695,0.5990291,-0.5451520000000001,0,0
0.30289856,0.32167834,1.0470936,1,1
-0.594947,1.5697569,-0.43798159999999997,0,0
-0.94027215,1.0497241000000002,0.71792746,1,1
1.4770041999999999,0.7723734,0.37345126,1,1
0.16476846,-0.64904934,-0.7671478,1,1
0.5791586999999999,-0.44103625,-1.4178251,0,0
-1.6309226000000001,1.3270749,-0.47625673,0,0
1.3388741000000002,0.52969146,-0.6140472,0,0
1.3388741000000002,0.9457175999999999,-1.1881742,0,0
-1.3546624,0.35634720000000003,1.6135656999999999,1,1
-1.2165323000000001,0.25234067,0.1591105,1,1
-0.94027215,-0.89173126,-0.6676324,0,1
0.5100937,-0.6837181999999999,-0.95852345,0,0
1.4079392,0.46035373,-0.7977679,0,0
-0.594947,1.6737634,-1.4714103,0,0
0.3719636,-0.6143805,-0.124125496,1,1
0.9935489,-1.0997443,-0.72121763,1,1
1.131679,-1.4464328000000002,-0.9355584000000001,0,0
-1.4237274,-0.9957378,1.6441858,1,1
1.200744,0.21767181,1.6288757,1,1
0.026638385,-0.30236086,0.91695815,1,1
-0.8021421,-0.9610689,-1.1881742,1,1
0.30289856,-1.4464328000000002,-1.6321658,0,0
1.6151342,-1.3770951,1.4375,1,1
-1.0093372,1.7084322,-0.58342713,0,0
-1.4237274,-1.5157704,1.720736,1,1
0.09570342,-1.7237836,0.0749052,1,1
-0.042426652999999995,1.1537306,-1.5403055,0,0
0.9244839,-0.5450428,1.1006788,1,1
-0.18055673,-0.30236086,-1.4101701000000002,0,0
-1.6309226000000001,-1.0650754999999998,0.6719973000000001,1,1
